"patch" "rep" "nut" "loss" "ampl"
"291" 1 1 13 0.251 "24.835940372"
"292" 2 1 13 0.251 "31.139294408"
"293" 1 1 13 0.301 "23.94044054"
"294" 2 1 13 0.301 "30.588261776"
"295" 1 1 13 0.351 "23.169947744"
"296" 2 1 13 0.351 "30.425023904"
"297" 1 1 13 0.401 "22.460207124"
"298" 2 1 13 0.401 "30.73258682"
"299" 1 1 13 0.451 "21.640872692"
"300" 2 1 13 0.451 "31.460999308"
"301" 1 1 13 0.501 "20.45500686"
"302" 2 1 13 0.501 "32.143587016"
"303" 1 1 13 0.551 "18.61231738"
"304" 2 1 13 0.551 "31.743970228"
"305" 1 1 13 0.601 "15.844151912"
"306" 2 1 13 0.601 "29.457783292"
"307" 1 1 13 0.651 "12.414733724"
"308" 2 1 13 0.651 "26.160160012"
"309" 1 1 13 0.701 "8.55520692"
"310" 2 1 13 0.701 "23.280210636"
"311" 1 1 13 0.751 "3.92840292"
"312" 2 1 13 0.751 "24.739914488"
"313" 1 1 13 0.801 "3.05352176"
"314" 2 1 13 0.801 "46.010444812"
"315" 1 1 13 0.851 "7.95224336"
"316" 2 1 13 0.851 "56.413789284"
"317" 1 1 13 0.901 "0.79207948"
"318" 2 1 13 0.901 "49.832624876"
"319" 1 1 13 0.951 "9.999999992516e-07"
"320" 2 1 13 0.951 "0"
"321" 1 1 12 0.001 "0"
"322" 2 1 12 0.001 "0"
"323" 1 1 12 0.051 "NA"
"324" 2 1 12 0.051 "NA"
"325" 1 1 12 0.101 "35.4439216666667"
"326" 2 1 12 0.101 "55.9517431777778"
"327" 1 1 12 0.151 "32.0392561666667"
"328" 2 1 12 0.151 "49.0317598833333"
"329" 1 1 12 0.201 "30.395998944"
"330" 2 1 12 0.201 "40.139506588"
"331" 1 1 12 0.251 "29.359217732"
"332" 2 1 12 0.251 "39.3379991"
"333" 1 1 12 0.301 "28.35410414"
"334" 2 1 12 0.301 "38.6601552"
"335" 1 1 12 0.351 "27.335634284"
"336" 2 1 12 0.351 "38.231006452"
"337" 1 1 12 0.401 "26.246853932"
"338" 2 1 12 0.401 "38.152435992"
"339" 1 1 12 0.451 "25.042619068"
"340" 2 1 12 0.451 "38.291095808"
"341" 1 1 12 0.501 "23.72876326"
"342" 2 1 12 0.501 "38.212742136"
"343" 1 1 12 0.551 "22.119903776"
"344" 2 1 12 0.551 "37.448537536"
"345" 1 1 12 0.601 "19.195219208"
"346" 2 1 12 0.601 "34.22652612"
"347" 1 1 12 0.651 "14.914018972"
"348" 2 1 12 0.651 "28.794053452"
"349" 1 1 12 0.701 "10.14346612"
"350" 2 1 12 0.701 "24.00778198"
"351" 1 1 12 0.751 "4.51394424"
"352" 2 1 12 0.751 "23.656328336"
"353" 1 1 12 0.801 "2.67049612"
"354" 2 1 12 0.801 "44.037484916"
"355" 1 1 12 0.851 "8.45296296"
"356" 2 1 12 0.851 "56.220439552"
"357" 1 1 12 0.901 "0.83952288"
"358" 2 1 12 0.901 "50.189859448"
"359" 1 1 12 0.951 "1.41656032"
"360" 2 1 12 0.951 "0.0054755236"
"361" 1 1 11 0.001 "9.94402e-11"
"362" 2 1 11 0.001 "9.94402e-11"
"363" 1 1 11 0.051 "NA"
"364" 2 1 11 0.051 "NA"
"365" 1 1 11 0.101 "38.889177125"
"366" 2 1 11 0.101 "61.5231459375"
"367" 1 1 11 0.151 "36.7507972722222"
"368" 2 1 11 0.151 "60.6357828888889"
"369" 1 1 11 0.201 "34.7963772454545"
"370" 2 1 11 0.201 "59.5860835772727"
"371" 1 1 11 0.251 "31.889258464"
"372" 2 1 11 0.251 "47.401383756"
"373" 1 1 11 0.301 "30.821053232"
"374" 2 1 11 0.301 "47.464815684"
"375" 1 1 11 0.351 "29.69713"
"376" 2 1 11 0.351 "47.981160292"
"377" 1 1 11 0.401 "28.430724432"
"378" 2 1 11 0.401 "48.531505068"
"379" 1 1 11 0.451 "27.144129668"
"380" 2 1 11 0.451 "46.717710716"
"381" 1 1 11 0.501 "26.132581496"
"382" 2 1 11 0.501 "43.971827796"
"383" 1 1 11 0.551 "24.916909188"
"384" 2 1 11 0.551 "42.304064368"
"385" 1 1 11 0.601 "22.792741008"
"386" 2 1 11 0.601 "39.44662518"
"387" 1 1 11 0.651 "17.972031056"
"388" 2 1 11 0.651 "31.875621292"
"389" 1 1 11 0.701 "11.82093456"
"390" 2 1 11 0.701 "24.77155068"
"391" 1 1 11 0.751 "4.98658448"
"392" 2 1 11 0.751 "22.761497612"
"393" 1 1 11 0.801 "2.38983024"
"394" 2 1 11 0.801 "42.590074448"
"395" 1 1 11 0.851 "8.22946712"
"396" 2 1 11 0.851 "55.692223488"
"397" 1 1 11 0.901 "10.957815524"
"398" 2 1 11 0.901 "50.375599964"
"399" 1 1 11 0.951 "15.27461654"
"400" 2 1 11 0.951 "0.0606751976"
"401" 1 1 10 0.001 "NA"
"402" 2 1 10 0.001 "NA"
"403" 1 1 10 0.051 "NA"
"404" 2 1 10 0.051 "NA"
"405" 1 1 10 0.101 "NA"
"406" 2 1 10 0.101 "NA"
"407" 1 1 10 0.151 "38.7726213555556"
"408" 2 1 10 0.151 "61.5697905777778"
"409" 1 1 10 0.201 "37.0354738409091"
"410" 2 1 10 0.201 "61.1405050136364"
"411" 1 1 10 0.251 "35.433810096"
"412" 2 1 10 0.251 "60.754145312"
"413" 1 1 10 0.301 "33.943748384"
"414" 2 1 10 0.301 "60.334235716"
"415" 1 1 10 0.351 "32.562494608"
"416" 2 1 10 0.351 "58.795926176"
"417" 1 1 10 0.401 "31.189712724"
"418" 2 1 10 0.401 "59.07046954"
"419" 1 1 10 0.451 "29.511674476"
"420" 2 1 10 0.451 "59.10951368"
"421" 1 1 10 0.501 "27.624685688"
"422" 2 1 10 0.501 "54.322456648"
"423" 1 1 10 0.551 "27.30117654"
"424" 2 1 10 0.551 "47.068037828"
"425" 1 1 10 0.601 "26.055516676"
"426" 2 1 10 0.601 "44.230255172"
"427" 1 1 10 0.651 "21.89406474"
"428" 2 1 10 0.651 "36.0714023"
"429" 1 1 10 0.701 "13.59658464"
"430" 2 1 10 0.701 "25.68118874"
"431" 1 1 10 0.751 "5.37022412"
"432" 2 1 10 0.751 "22.017810956"
"433" 1 1 10 0.801 "2.25000096"
"434" 2 1 10 0.801 "41.485968144"
"435" 1 1 10 0.851 "11.34321572"
"436" 2 1 10 0.851 "55.811818084"
"437" 1 1 10 0.901 "17.025064896"
"438" 2 1 10 0.901 "50.808526734"
"439" 1 1 10 0.951 "NA"
"440" 2 1 10 0.951 "NA"
"441" 1 1 9 0.001 "3.06574000000002e-12"
"442" 2 1 9 0.001 "3.06574000000002e-12"
"443" 1 1 9 0.051 "NA"
"444" 2 1 9 0.051 "NA"
"445" 1 1 9 0.101 "NA"
"446" 2 1 9 0.101 "NA"
"447" 1 1 9 0.151 "40.6220949555556"
"448" 2 1 9 0.151 "61.3122780666667"
"449" 1 1 9 0.201 "39.0422459"
"450" 2 1 9 0.201 "60.9478878727273"
"451" 1 1 9 0.251 "37.5582917"
"452" 2 1 9 0.251 "60.619467696"
"453" 1 1 9 0.301 "36.141056676"
"454" 2 1 9 0.301 "60.3132323"
"455" 1 1 9 0.351 "34.863108496"
"456" 2 1 9 0.351 "60.04700536"
"457" 1 1 9 0.401 "33.640241884"
"458" 2 1 9 0.401 "59.784842744"
"459" 1 1 9 0.451 "32.06603496"
"460" 2 1 9 0.451 "59.333706656"
"461" 1 1 9 0.501 "30.073615532"
"462" 2 1 9 0.501 "59.361850868"
"463" 1 1 9 0.551 "29.2709611"
"464" 2 1 9 0.551 "52.971095736"
"465" 1 1 9 0.601 "29.036435384"
"466" 2 1 9 0.601 "48.409197548"
"467" 1 1 9 0.651 "26.736234336"
"468" 2 1 9 0.651 "41.873650676"
"469" 1 1 9 0.701 "15.58025642"
"470" 2 1 9 0.701 "26.866022756"
"471" 1 1 9 0.751 "5.6845432"
"472" 2 1 9 0.751 "21.394707224"
"473" 1 1 9 0.801 "10.11098412"
"474" 2 1 9 0.801 "39.824809168"
"475" 1 1 9 0.851 "18.444555492"
"476" 2 1 9 0.851 "55.590054908"
"477" 1 1 9 0.901 "25.99491202"
"478" 2 1 9 0.901 "49.5508456592"
"479" 1 1 9 0.951 "26.56537726"
"480" 2 1 9 0.951 "18.7016707928"
"481" 1 1 8 0.001 "NA"
"482" 2 1 8 0.001 "NA"
"483" 1 1 8 0.051 "NA"
"484" 2 1 8 0.051 "NA"
"485" 1 1 8 0.101 "NA"
"486" 2 1 8 0.101 "NA"
"487" 1 1 8 0.151 "42.6384770444444"
"488" 2 1 8 0.151 "60.7426842"
"489" 1 1 8 0.201 "41.2143914"
"490" 2 1 8 0.201 "60.3549375818182"
"491" 1 1 8 0.251 "39.81772132"
"492" 2 1 8 0.251 "59.988652452"
"493" 1 1 8 0.301 "38.454692968"
"494" 2 1 8 0.301 "59.613019404"
"495" 1 1 8 0.351 "37.152329544"
"496" 2 1 8 0.351 "59.225585364"
"497" 1 1 8 0.401 "36.157798428"
"498" 2 1 8 0.401 "59.127222428"
"499" 1 1 8 0.451 "34.654395424"
"500" 2 1 8 0.451 "58.385392128"
"501" 1 1 8 0.501 "32.82063248"
"502" 2 1 8 0.501 "57.775876288"
"503" 1 1 8 0.551 "30.56934276"
"504" 2 1 8 0.551 "59.120157504"
"505" 1 1 8 0.601 "31.879863084"
"506" 2 1 8 0.601 "52.455826024"
"507" 1 1 8 0.651 "31.122168888"
"508" 2 1 8 0.651 "47.395071636"
"509" 1 1 8 0.701 "18.03004154"
"510" 2 1 8 0.701 "28.578051624"
"511" 1 1 8 0.751 "5.9446686"
"512" 2 1 8 0.751 "20.867886336"
"513" 1 1 8 0.801 "11.13918676"
"514" 2 1 8 0.801 "39.982215112"
"515" 1 1 8 0.851 "25.498589056"
"516" 2 1 8 0.851 "53.209685472"
"517" 1 1 8 0.901 "29.647805976"
"518" 2 1 8 0.901 "40.399131664"
"519" 1 1 8 0.951 "NA"
"520" 2 1 8 0.951 "NA"
"521" 1 1 7 0.001 "0"
"522" 2 1 7 0.001 "0"
"523" 1 1 7 0.051 "NA"
"524" 2 1 7 0.051 "NA"
"525" 1 1 7 0.101 "NA"
"526" 2 1 7 0.101 "NA"
"527" 1 1 7 0.151 "44.8870952555556"
"528" 2 1 7 0.151 "60.0893080111111"
"529" 1 1 7 0.201 "43.5719862"
"530" 2 1 7 0.201 "59.64818388"
"531" 1 1 7 0.251 "42.270186925"
"532" 2 1 7 0.251 "59.202200425"
"533" 1 1 7 0.301 "40.968668232"
"534" 2 1 7 0.301 "58.73638268"
"535" 1 1 7 0.351 "39.674968992"
"536" 2 1 7 0.351 "58.219658848"
"537" 1 1 7 0.401 "38.398442732"
"538" 2 1 7 0.401 "57.649698096"
"539" 1 1 7 0.451 "37.257741236"
"540" 2 1 7 0.451 "57.332827372"
"541" 1 1 7 0.501 "35.706368096"
"542" 2 1 7 0.501 "56.285721308"
"543" 1 1 7 0.551 "33.194691868"
"544" 2 1 7 0.551 "56.247802672"
"545" 1 1 7 0.601 "34.42500768"
"546" 2 1 7 0.601 "56.796315832"
"547" 1 1 7 0.651 "34.577712536"
"548" 2 1 7 0.651 "51.405247444"
"549" 1 1 7 0.701 "21.752267168"
"550" 2 1 7 0.701 "31.619492592"
"551" 1 1 7 0.751 "6.16131472"
"552" 2 1 7 0.751 "20.417876252"
"553" 1 1 7 0.801 "18.56388722"
"554" 2 1 7 0.801 "38.543247492"
"555" 1 1 7 0.851 "25.707073368"
"556" 2 1 7 0.851 "53.439750724"
"557" 1 1 7 0.901 "33.559516912"
"558" 2 1 7 0.901 "38.624727288"
"559" 1 1 7 0.951 "NA"
"560" 2 1 7 0.951 "NA"
"561" 1 1 6 0.001 "NA"
"562" 2 1 6 0.001 "NA"
"563" 1 1 6 0.051 "NA"
"564" 2 1 6 0.051 "NA"
"565" 1 1 6 0.101 "NA"
"566" 2 1 6 0.101 "NA"
"567" 1 1 6 0.151 "47.3179995375"
"568" 2 1 6 0.151 "59.4558824875"
"569" 1 1 6 0.201 "46.12368917"
"570" 2 1 6 0.201 "58.89878548"
"571" 1 1 6 0.251 "44.9234864166667"
"572" 2 1 6 0.251 "58.3576468416667"
"573" 1 1 6 0.301 "43.719609624"
"574" 2 1 6 0.301 "57.792277408"
"575" 1 1 6 0.351 "42.526810868"
"576" 2 1 6 0.351 "57.1635056"
"577" 1 1 6 0.401 "41.342841488"
"578" 2 1 6 0.401 "56.444990232"
"579" 1 1 6 0.451 "40.156862824"
"580" 2 1 6 0.451 "55.603170884"
"581" 1 1 6 0.501 "38.963350428"
"582" 2 1 6 0.501 "54.585428408"
"583" 1 1 6 0.551 "34.838969208"
"584" 2 1 6 0.551 "54.628103696"
"585" 1 1 6 0.601 "34.27373536"
"586" 2 1 6 0.601 "56.486798384"
"587" 1 1 6 0.651 "37.698580304"
"588" 2 1 6 0.651 "54.82032878"
"589" 1 1 6 0.701 "30.843836804"
"590" 2 1 6 0.701 "40.468084112"
"591" 1 1 6 0.751 "6.34881168"
"592" 2 1 6 0.751 "20.032870572"
"593" 1 1 6 0.801 "36.701865304"
"594" 2 1 6 0.801 "42.660633616"
"595" 1 1 6 0.851 "32.38913578"
"596" 2 1 6 0.851 "46.382784288"
"597" 1 1 6 0.901 "NA"
"598" 2 1 6 0.901 "NA"
"599" 1 1 6 0.951 "NA"
"600" 2 1 6 0.951 "NA"
"601" 1 1 5 0.001 "NA"
"602" 2 1 5 0.001 "NA"
"603" 1 1 5 0.051 "NA"
"604" 2 1 5 0.051 "NA"
"605" 1 1 5 0.101 "NA"
"606" 2 1 5 0.101 "NA"
"607" 1 1 5 0.151 "NA"
"608" 2 1 5 0.151 "NA"
"609" 1 1 5 0.201 "48.78951333"
"610" 2 1 5 0.201 "58.15045365"
"611" 1 1 5 0.251 "47.7111333363636"
"612" 2 1 5 0.251 "57.4764928583333"
"613" 1 1 5 0.301 "46.623753344"
"614" 2 1 5 0.301 "56.79933156"
"615" 1 1 5 0.351 "45.552195568"
"616" 2 1 5 0.351 "56.079673496"
"617" 1 1 5 0.401 "44.483435344"
"618" 2 1 5 0.401 "55.300450732"
"619" 1 1 5 0.451 "43.421053844"
"620" 2 1 5 0.451 "54.442215856"
"621" 1 1 5 0.501 "37.467561032"
"622" 2 1 5 0.501 "55.398075408"
"623" 1 1 5 0.551 "36.395212496"
"624" 2 1 5 0.551 "54.786788216"
"625" 1 1 5 0.601 "35.610607504"
"626" 2 1 5 0.601 "54.090596052"
"627" 1 1 5 0.651 "40.594227152"
"628" 2 1 5 0.651 "57.874781036"
"629" 1 1 5 0.701 "39.342994964"
"630" 2 1 5 0.701 "49.624947964"
"631" 1 1 5 0.751 "6.49881604"
"632" 2 1 5 0.751 "19.695824504"
"633" 1 1 5 0.801 "40.293884392"
"634" 2 1 5 0.801 "46.671350008"
"635" 1 1 5 0.851 "35.640689092"
"636" 2 1 5 0.851 "49.351786848"
"637" 1 1 5 0.901 "NA"
"638" 2 1 5 0.901 "NA"
"639" 1 1 5 0.951 "NA"
"640" 2 1 5 0.951 "NA"
"641" 1 1 4 0.001 "1.0911128e-10"
"642" 2 1 4 0.001 "1.0911128e-10"
