"q","b1.min","b1.max","b2.min","b2.max","b3.min","b3.max"
0.013,10.681586,57.17145,1.526791e-05,11.785181,6.0605188,37.283
0.014,10.633204,57.158011,3.070756e-05,11.796274,6.0880453,37.032226
0.014,10.633361,57.158011,3.070762e-05,11.796126,6.088055,37.032187
0.014,10.633476,57.15801,3.0707582e-05,11.796352,6.088047,37.032168
0.014,10.633208,57.158011,3.0707471e-05,11.796232,6.088048,37.032223
0.014,10.633412,57.158011,3.07075e-05,11.79618,6.0880529,37.032176
0.014,10.633403,57.15801,3.0707591e-05,11.796359,6.0880452,37.032185
0.014,10.633196,57.158011,3.0707402e-05,11.796195,6.0880466,37.032227
0.014,10.633465,57.158011,3.070744e-05,11.796233,6.0880483,37.032166
0.014,10.63335,57.158011,3.0707267e-05,11.796355,6.0880457,37.032195
0.014,10.63318,57.158011,3.0707203e-05,11.796156,6.0880428,37.032233
0.014,10.633524,57.158011,3.0707043e-05,11.796283,6.0880429,37.032156
0.014,10.633264,57.158011,3.0707477e-05,11.796361,6.0880393,37.032218
0.014,10.633226,57.158011,3.0707258e-05,11.796085,6.0880484,37.032219
0.014,10.633653,57.15801,3.0707499e-05,11.796298,6.0880488,37.032122
0.014,10.633268,57.158011,3.0707542e-05,11.796325,6.088047,37.032211
0.014,10.633244,57.158011,3.0707325e-05,11.796027,6.0880477,37.032217
0.014,10.63363,57.158011,3.0707093e-05,11.796331,6.0880445,37.032138
0.014,10.633191,57.158011,3.0707287e-05,11.796324,6.0880386,37.032234
0.014,10.63327,57.158011,3.0707301e-05,11.796077,6.0880466,37.032212
0.014,10.633544,57.158011,3.0707348e-05,11.796347,6.0880446,37.032156
0.014,10.633204,57.158011,3.070756e-05,11.796274,6.0880453,37.032226
0.014,10.633361,57.158011,3.070762e-05,11.796126,6.088055,37.032187
0.014,10.633476,57.15801,3.0707582e-05,11.796352,6.088047,37.032168
0.014,10.633208,57.158011,3.0707471e-05,11.796232,6.088048,37.032223
0.014,10.633412,57.158011,3.07075e-05,11.79618,6.0880529,37.032176
0.015,10.584584,57.139802,5.7431524e-05,11.807231,6.1147321,36.785153
0.015,10.584652,57.139802,5.7431814e-05,11.807069,6.1147269,36.785212
0.015,10.584817,57.139802,5.743164e-05,11.807256,6.1147231,36.78525
0.015,10.585038,57.139802,5.7431303e-05,11.807373,6.1147211,36.785266
0.015,10.584767,57.139802,5.74313e-05,11.807421,6.1147206,36.785261
0.015,10.584622,57.139802,5.7431237e-05,11.807386,6.1147269,36.785223
0.015,10.584556,57.139802,5.743141e-05,11.807292,6.1147293,36.785169
0.015,10.58462,57.139802,5.7432063e-05,11.807113,6.1147287,36.785194
0.015,10.584773,57.139802,5.7432056e-05,11.807189,6.1147285,36.785232
0.015,10.585018,57.139802,5.7431612e-05,11.807321,6.1147289,36.78525
